Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-May-2023,1633.95,1634.60,1614.10,1615.65,1625.774664313665311133,130330,4697,211887212.00,83654,64.19,20.50,-18.30
23-May-2023,1647.70,1647.70,1634.05,1636.80,1640.966279627870878138,97923,3135,160688341.00,63350,64.69,13.65,-10.90
22-May-2023,1644.70,1652.50,1632.95,1640.55,1641.610573528257970029,152948,9290,251081054.00,88151,57.63,19.55,-4.15
19-May-2023,1645.35,1649.50,1632.00,1647.40,1641.599964394936451319,157281,7746,258192484.00,103531,65.83,17.50,2.05
18-May-2023,1650.00,1653.65,1640.20,1645.35,1646.597297132273624651,147399,7991,242706795.00,55695,37.79,13.45,-4.65
17-May-2023,1647.10,1649.65,1625.40,1638.65,1637.639855010971159791,82489,4193,135087274.00,45419,55.06,24.25,-8.45
16-May-2023,1673.70,1673.70,1644.10,1646.75,1654.424871245668078552,166208,12535,274978649.00,78012,46.94,29.60,-26.95
15-May-2023,1674.00,1681.00,1665.35,1676.20,1676.779336467472827680,119331,4242,200091755.00,83755,70.19,15.65,2.20
12-May-2023,1649.00,1672.20,1643.60,1667.60,1662.597635331021244566,277671,17956,461655148.00,193380,69.64,28.60,18.60
11-May-2023,1667.00,1668.00,1649.55,1653.70,1656.349808784331904044,172580,5989,285852850.00,101484,58.80,18.45,-13.30
10-May-2023,1644.00,1654.30,1633.90,1652.00,1645.148723684210526315,76000,4103,125031303.00,26194,34.47,20.40,8.00
9-May-2023,1650.00,1655.70,1639.55,1643.20,1649.055259357863875985,434207,16841,716031337.00,278933,64.24,16.15,-6.80
8-May-2023,1635.00,1650.00,1630.00,1645.25,1644.215224178409581622,201469,9321,331258397.00,105800,52.51,20.00,10.25
5-May-2023,1637.00,1661.05,1622.00,1625.35,1640.756102195302515088,557873,29278,915333529.00,290999,52.16,39.05,-11.65
4-May-2023,1692.00,1733.95,1688.55,1727.20,1707.159196679060252937,517203,12901,882947858.00,225135,43.53,45.40,35.20
3-May-2023,1686.00,1696.65,1680.10,1692.05,1686.878538324162912940,138307,3830,233307110.00,109838,79.42,16.55,6.05
2-May-2023,1688.25,1698.55,1682.00,1686.50,1692.910986748716119298,134553,8948,227786252.00,80238,59.63,16.55,-1.75
28-April-2023,1682.60,1690.95,1670.00,1688.05,1680.234838627899086980,268231,9571,450691071.00,180157,67.16,20.95,5.45
27-April-2023,1672.20,1685.45,1666.05,1681.05,1673.700006875282377669,203628,8003,340812185.00,102685,50.43,19.40,8.85
26-April-2023,1660.20,1674.40,1654.85,1672.20,1668.084652655925985005,100304,3481,167315563.00,54009,53.85,19.55,12.00
25-April-2023,1689.00,1689.00,1661.10,1663.60,1667.143812716932360814,423231,8612,705586943.00,319663,75.53,27.90,-25.40
24-April-2023,1675.20,1691.50,1674.55,1688.45,1680.593322446017056795,137775,5221,231543745.00,71815,52.12,16.95,13.25
21-April-2023,1665.50,1677.00,1662.80,1673.80,1669.273460333638094096,133438,7765,222744512.00,97904,73.37,14.20,8.30
20-April-2023,1670.55,1677.25,1666.75,1672.00,1671.307669338839629134,197592,7948,330237025.00,128458,65.01,10.50,1.45
19-April-2023,1664.70,1669.75,1657.70,1665.95,1664.071971022874275191,65707,3780,109341177.00,21352,32.50,12.05,1.25
18-April-2023,1668.00,1676.90,1656.00,1658.25,1666.795741622940968759,161423,9605,269059169.00,60734,37.62,20.90,-9.75
17-April-2023,1706.00,1715.85,1653.65,1667.05,1669.057636297708584328,341972,18847,570770978.00,128086,37.46,62.20,-38.95
13-April-2023,1686.05,1697.00,1677.70,1693.30,1687.345823783058063657,165353,6128,279007694.00,89294,54.00,19.30,7.25
12-April-2023,1665.60,1688.00,1665.60,1684.75,1680.544328198899501279,217356,12101,365276393.00,144527,66.49,22.40,19.15
11-April-2023,1659.30,1668.50,1651.90,1663.70,1662.084224322273573842,86982,4049,144571410.00,36983,42.52,16.60,4.40
10-April-2023,1665.00,1670.80,1654.50,1658.10,1663.603792835890198378,163677,6764,272293678.00,98179,59.98,16.30,-6.90
6-April-2023,1650.40,1669.00,1648.10,1666.30,1659.759430493860735905,198558,12457,329558513.00,117284,59.07,20.90,15.90
5-April-2023,1613.00,1656.10,1613.00,1654.10,1647.277471855447622050,183961,8517,303034811.00,73231,39.81,43.10,41.10
3-April-2023,1604.30,1615.45,1602.55,1610.35,1609.161885127454191634,155703,9533,250551333.00,62003,39.82,12.90,6.05
31-March-2023,1588.40,1612.85,1588.40,1609.75,1602.266474030527973756,260941,14844,418097016.00,113285,43.41,24.45,21.35
29-March-2023,1576.60,1602.00,1576.60,1588.40,1591.565666343981929654,80574,4053,128238812.00,18404,22.84,25.40,11.80
28-March-2023,1566.00,1582.35,1565.00,1580.15,1574.042776936972123224,102415,3664,161205591.00,39558,38.63,17.35,14.15
27-March-2023,1560.10,1579.40,1559.00,1565.45,1569.004109992710578966,128954,8658,202329356.00,63707,49.40,20.40,5.35
24-March-2023,1562.00,1573.55,1554.70,1561.75,1564.748756711284855382,80834,4027,126484901.00,20546,25.42,18.85,-0.25
23-March-2023,1569.90,1590.00,1559.70,1562.65,1575.140866706772086627,93088,3416,146626713.00,24604,26.43,30.30,-7.25
22-March-2023,1581.35,1585.55,1566.15,1575.30,1573.194938081578395018,57172,4447,89942701.00,19146,33.49,19.40,-6.05
21-March-2023,1574.00,1582.10,1556.55,1579.40,1569.658885741265344664,105900,5028,166226876.00,30444,28.75,25.55,5.40
20-March-2023,1568.00,1568.00,1545.15,1561.10,1556.059657022525398478,89277,4771,138920338.00,25279,28.32,22.85,-6.90
17-March-2023,1560.00,1578.65,1540.45,1572.55,1557.273941638311430666,83171,4818,129520031.00,26415,31.76,38.20,12.55
16-March-2023,1541.55,1559.15,1532.30,1551.45,1541.655071693303087327,331063,9085,510384953.00,238489,72.04,26.85,9.90
15-March-2023,1579.45,1580.85,1536.05,1540.75,1558.662975667348977581,143141,11691,223108577.00,56635,39.57,44.80,-38.70
14-March-2023,1564.30,1583.65,1558.90,1564.85,1571.134510145883905635,212155,13239,333324042.00,69114,32.58,24.75,0.55
13-March-2023,1583.10,1603.70,1565.00,1568.65,1586.138160261049310758,230761,13468,366018828.00,100624,43.61,38.70,-14.45
10-March-2023,1602.15,1613.60,1585.00,1588.65,1594.343543625904888382,277106,18366,441802162.00,74762,26.98,28.60,-13.50
9-March-2023,1633.45,1644.95,1626.95,1631.55,1636.782604334497307395,159511,5600,261084830.00,41140,25.79,18.00,-1.90
8-March-2023,1622.00,1639.50,1621.20,1630.40,1627.303589115461095863,264522,9087,430457600.00,93852,35.48,18.30,8.40
6-March-2023,1618.00,1638.60,1618.00,1626.35,1631.730342335177366346,85501,4872,139514576.00,27591,32.27,20.60,8.35
3-March-2023,1596.00,1619.45,1587.65,1615.55,1609.986617119692323683,153928,10057,247822020.00,91803,59.64,31.80,19.55
2-March-2023,1590.55,1606.00,1582.20,1584.65,1591.519327890639832921,52670,3529,83825323.00,22382,42.49,23.80,-5.90
1-March-2023,1606.50,1612.35,1595.30,1597.75,1601.615283296704923006,135141,7087,216443891.00,39959,29.57,17.05,-8.75
28-February-2023,1592.65,1605.10,1588.80,1601.25,1598.619277336360196746,52860,3594,84503015.00,17107,32.36,16.30,8.60
27-February-2023,1585.00,1598.60,1577.15,1592.65,1589.708539425023209094,65707,4103,104454979.00,21403,32.57,21.45,7.65
24-February-2023,1619.35,1619.35,1585.25,1588.45,1595.400444301481675076,99482,9957,158713627.00,45368,45.60,34.10,-30.90
23-February-2023,1613.05,1616.60,1592.30,1603.35,1602.151433427913699876,149432,11285,239412693.00,62744,41.99,24.30,-9.70
22-February-2023,1639.20,1642.05,1608.90,1614.55,1623.647415141703350674,109948,9929,178516786.00,42019,38.22,33.15,-24.65
21-February-2023,1637.00,1661.45,1635.00,1646.95,1648.591281778022242466,58177,4314,95910095.00,19895,34.20,26.45,9.95
20-February-2023,1657.55,1668.70,1634.55,1639.80,1653.609651904014951773,119852,12284,198188424.00,61282,51.13,34.15,-17.75
17-February-2023,1640.00,1667.00,1640.00,1656.30,1652.345117385539349504,102568,8040,169477734.00,59861,58.36,27.00,16.30
16-February-2023,1670.60,1681.35,1661.00,1664.75,1674.494459551954418484,54057,3642,90518147.00,16741,30.97,20.35,-5.85
15-February-2023,1673.00,1676.35,1657.40,1668.70,1667.372781604168944280,54882,3494,91508753.00,20281,36.95,18.95,-4.30
14-February-2023,1661.00,1677.40,1659.00,1673.30,1668.033861228892917609,133486,10180,222659168.00,84760,63.50,18.40,12.30
13-February-2023,1656.45,1661.85,1644.45,1658.60,1653.123900330972510417,58313,3686,96398614.00,19723,33.82,17.40,2.15
10-February-2023,1646.00,1658.50,1643.20,1656.45,1652.348151206532709422,43596,2432,72035770.00,12448,28.55,15.30,10.45
9-February-2023,1661.00,1661.00,1635.50,1649.30,1647.812243644182642791,55343,2849,91194873.00,18402,33.25,25.50,-11.70
8-February-2023,1651.55,1668.10,1648.10,1653.60,1658.617537948708758221,55799,3364,92549200.00,24048,43.10,20.00,2.05
7-February-2023,1652.35,1661.00,1632.25,1653.40,1651.147164359502181261,105902,7220,174859787.00,44245,41.78,28.75,1.05
6-February-2023,1658.70,1669.25,1646.65,1651.75,1656.439403314547552552,59797,3811,99050107.00,17395,29.09,22.60,-6.95
3-February-2023,1617.00,1660.10,1609.80,1658.70,1642.056932042298887027,201802,14764,331370373.00,112478,55.74,50.30,41.70
2-February-2023,1614.95,1623.70,1589.15,1603.25,1602.337002201320792475,94943,7241,152130682.00,33998,35.81,34.55,-11.70
1-February-2023,1616.25,1664.15,1606.75,1627.05,1623.432396336960035488,423801,10795,688012273.00,292229,68.95,57.40,10.80
31-January-2023,1617.80,1622.70,1595.00,1603.45,1606.452935683504144119,172413,12742,276973370.00,82473,47.83,27.70,-14.35
30-January-2023,1602.00,1625.00,1582.05,1614.30,1602.184394321334557387,197159,13524,315885073.00,70323,35.67,42.95,12.30
27-January-2023,1644.15,1644.15,1590.35,1615.85,1613.799174645742070285,153631,8852,247929581.00,64632,42.07,53.80,-28.30
25-January-2023,1688.50,1692.70,1645.35,1648.20,1658.477080587494265595,137329,7905,227756999.00,60435,44.01,47.35,-40.30
24-January-2023,1677.70,1702.00,1675.50,1695.30,1692.849043426401117441,127434,5720,215726525.00,63738,50.02,26.50,17.60
23-January-2023,1661.25,1683.30,1661.25,1672.65,1675.690618879519626584,85267,5723,142881112.00,36345,42.62,22.05,11.40
20-January-2023,1643.80,1668.00,1642.60,1660.80,1661.108161259900679940,758155,13974,1259377458.00,673639,88.85,25.40,17.00
19-January-2023,1630.05,1649.35,1630.05,1644.10,1642.500313286535050922,94163,5418,154662757.00,52561,55.82,19.30,14.05
18-January-2023,1607.90,1641.00,1601.00,1636.95,1632.100955764921446522,161546,7606,263659381.00,85081,52.67,40.00,29.05
17-January-2023,1592.00,1610.80,1577.70,1608.60,1604.669383341548313636,261717,8089,419969257.00,185297,70.80,33.10,16.60
16-January-2023,1624.40,1624.40,1580.15,1585.25,1599.856821777587433502,282529,20347,452005948.00,128244,45.39,44.25,-39.15
13-January-2023,1598.00,1609.95,1586.10,1600.85,1598.647108402489626556,92544,6868,147945198.00,50751,54.84,23.85,2.85
12-January-2023,1585.25,1603.80,1584.35,1599.70,1594.427747085218119430,109871,7131,175181371.00,53564,48.75,19.45,14.45
11-January-2023,1570.60,1598.00,1560.05,1590.80,1584.088791848617176128,132591,8291,210035917.00,52736,39.77,37.95,20.20
10-January-2023,1597.45,1598.05,1565.15,1569.30,1571.999295699171680982,195939,10639,308015970.00,131846,67.29,32.90,-28.15
9-January-2023,1595.80,1611.00,1590.05,1597.40,1604.823808434378098070,196695,9906,315660819.00,145517,73.98,20.95,1.60
6-January-2023,1599.75,1608.90,1578.50,1594.35,1592.328457128528932401,175478,13939,279418613.00,108247,61.69,30.40,-5.40
5-January-2023,1614.30,1618.20,1590.00,1599.70,1602.709337940783790151,152796,16096,244887576.00,95235,62.33,28.20,-14.60
4-January-2023,1635.00,1645.75,1607.45,1610.55,1625.712463961678984441,155737,10703,253183582.00,81141,52.10,38.30,-24.45
3-January-2023,1624.55,1643.60,1624.55,1639.70,1636.900102910490615814,175881,7676,287899627.00,112984,64.24,19.05,15.15
2-January-2023,1622.05,1639.00,1618.65,1629.15,1633.346404292241804779,125622,3648,205184242.00,95487,76.01,20.35,7.10
30-December-2022,1643.50,1644.00,1620.00,1627.30,1632.121521964442318424,50172,3430,81886801.00,20009,39.88,24.00,-16.20
29-December-2022,1618.15,1643.40,1611.10,1640.90,1625.304169374834500854,83082,4399,135033521.00,55970,67.37,32.30,22.75
28-December-2022,1629.00,1632.90,1623.00,1629.45,1628.639898206568386815,132818,5775,216312694.00,106376,80.09,9.90,0.45
27-December-2022,1632.30,1635.70,1615.00,1630.65,1621.548154110797459421,90688,6001,147054959.00,53186,58.65,20.70,-1.65
26-December-2022,1591.00,1638.95,1591.00,1628.15,1620.280423379542899962,160140,13259,259471707.00,105375,65.80,47.95,37.15
23-December-2022,1583.00,1604.00,1583.00,1597.65,1595.376098574491961379,90003,6243,143588635.00,53994,59.99,21.00,14.65
22-December-2022,1620.00,1627.20,1609.00,1610.75,1616.448514661726186673,78265,4565,126511343.00,53464,68.31,18.20,-9.25
21-December-2022,1642.00,1644.75,1607.15,1617.35,1625.893059656028867332,64017,4130,104084796.00,31187,48.72,37.60,-24.65
20-December-2022,1621.00,1637.10,1621.00,1631.45,1630.540062394636386536,103214,4285,168294562.00,73818,71.52,16.10,10.45
19-December-2022,1640.65,1646.50,1626.70,1644.50,1638.318339796064914548,69630,3167,114076106.00,22635,32.51,19.80,3.85
16-December-2022,1620.00,1644.90,1609.00,1638.70,1629.738136702810581311,78667,4356,128206610.00,30844,39.21,35.90,18.70
15-December-2022,1652.10,1669.85,1626.70,1630.70,1655.279849769681742043,76416,4846,126489865.00,41514,54.33,43.15,-21.40
14-December-2022,1651.55,1664.80,1649.40,1661.60,1659.528155270058310085,250557,20310,415806396.00,192017,76.64,15.40,10.05
13-December-2022,1652.00,1657.35,1645.40,1648.35,1649.747743977109155621,2513494,5848,4146631056.00,2426456,96.54,11.95,-3.65
12-December-2022,1621.05,1653.40,1621.05,1643.55,1643.417338672187339230,322666,21123,530274899.00,229704,71.19,32.35,22.50
9-December-2022,1624.00,1634.00,1619.30,1631.30,1627.599587906613421331,250914,13669,408387523.00,194400,77.48,14.70,7.30
8-December-2022,1611.05,1626.00,1604.35,1619.50,1611.050186182540762249,6497924,8033,10468481670.00,6140176,94.49,21.65,8.45
7-December-2022,1610.00,1618.75,1604.25,1609.95,1610.252437033689627505,108431,6780,174601282.00,54650,50.40,14.50,-0.05
6-December-2022,1600.25,1613.95,1600.25,1611.95,1607.173481819201016480,133795,7487,215031776.00,97268,72.70,13.70,11.70
5-December-2022,1607.00,1614.55,1596.40,1612.30,1604.169822723609991941,158848,10245,254819168.00,88300,55.59,18.15,5.30
2-December-2022,1610.35,1616.75,1605.05,1607.10,1611.103647218774014305,169170,13240,272550404.00,139938,82.72,11.70,-3.25
1-December-2022,1618.00,1636.95,1615.00,1619.15,1627.001727220796955224,295851,19610,481350088.00,167370,56.57,21.95,1.15
30-November-2022,1597.00,1612.50,1595.90,1608.75,1603.369693358390246138,109085,4651,174903583.00,73721,67.58,16.60,11.75
29-November-2022,1594.00,1611.95,1592.65,1597.65,1605.312401260257648662,110771,4023,177822060.00,66169,59.73,19.30,3.65
28-November-2022,1606.40,1607.20,1594.00,1599.75,1601.350776802482000200,509589,5241,816030741.00,82655,16.22,13.20,-6.65
25-November-2022,1627.35,1631.40,1614.05,1617.20,1620.389693672343727834,239678,9828,388371761.00,147451,61.52,17.35,-10.15
24-November-2022,1604.00,1632.15,1599.05,1625.90,1618.745644875834318775,252002,7910,407927140.00,185285,73.53,33.10,21.90
23-November-2022,1608.90,1608.90,1593.95,1599.00,1597.698831188045568871,168975,4254,269971160.00,127958,75.73,14.95,-9.90
22-November-2022,1596.00,1604.65,1591.25,1593.90,1597.213619202747578822,158394,5118,252989054.00,99908,63.08,13.40,-2.10
21-November-2022,1606.55,1610.00,1590.40,1597.00,1597.119470358110141438,169473,5762,270668628.00,107489,63.43,19.60,-9.55
18-November-2022,1620.20,1622.70,1605.35,1613.55,1615.016714234196276264,2487341,6729,4017097289.00,,,17.35,-6.65
17-November-2022,1616.00,1631.45,1613.65,1617.30,1623.913999209436827761,240335,6247,390283371.00,165579,68.90,17.80,1.30
16-November-2022,1608.00,1642.00,1608.00,1632.25,1629.359344024381394673,344525,20414,561355028.00,245506,71.26,34.00,24.25
15-November-2022,1620.55,1623.05,1605.35,1619.35,1612.946080926941492618,155177,6724,250292134.00,73065,47.08,17.70,-1.20
14-November-2022,1610.25,1628.00,1598.80,1614.40,1613.278616015316323445,188557,7792,304194976.00,75005,39.78,29.20,4.15
11-November-2022,1538.00,1636.35,1537.55,1610.95,1598.206961907894182035,1897296,91304,3032271676.00,1235063,65.10,98.80,72.95
10-November-2022,1492.05,1527.75,1492.05,1525.25,1511.655211089382261589,104316,3875,157689825.00,47799,45.82,35.70,33.20
9-November-2022,1508.55,1516.25,1503.60,1508.25,1511.994516670161459425,190760,9533,288428074.00,100770,52.83,12.65,-0.30
7-November-2022,1512.00,1512.00,1492.45,1508.80,1501.671104195481788842,121464,4778,182398979.00,62287,51.28,19.55,-3.20
4-November-2022,1501.00,1516.00,1490.00,1497.10,1496.923366160505283708,311429,10930,466185347.00,147635,47.41,26.00,-3.90
3-November-2022,1499.00,1520.40,1498.00,1508.60,1510.074037956642412422,253289,7876,382485143.00,155804,61.51,22.40,9.60
2-November-2022,1513.10,1527.95,1512.00,1513.95,1520.791353788900616312,347713,12762,528798924.00,191673,55.12,15.95,0.85
1-November-2022,1500.00,1529.00,1499.95,1514.05,1524.478501984484672255,1026211,8819,1564436608.00,833500,81.22,29.05,14.05
31-October-2022,1465.00,1498.00,1465.00,1496.40,1485.557638639971324696,156232,6995,232091641.00,82089,52.54,33.00,31.40
28-October-2022,1450.00,1466.90,1448.75,1458.50,1460.987444695869499138,118436,4413,173033509.00,75053,63.37,18.15,8.50
27-October-2022,1461.00,1465.75,1451.60,1454.25,1457.482114026590293279,142458,3965,207629987.00,94854,66.58,14.15,-6.75
25-October-2022,1453.00,1467.50,1445.70,1450.25,1459.972128126758543071,90629,4141,132315814.00,56236,62.05,21.80,-2.75
24-October-2022,1454.70,1462.80,1454.30,1460.80,1460.417306999639812702,33316,2915,48655263.00,,,8.50,6.10
21-October-2022,1448.60,1457.10,1433.80,1438.40,1445.574999682527588352,157494,9701,227669389.00,66687,42.34,23.30,-10.20
20-October-2022,1441.25,1454.45,1441.25,1449.20,1447.380610997316565839,125958,8908,182309167.00,52414,41.61,13.20,7.95
19-October-2022,1462.00,1477.00,1454.00,1458.85,1463.111690522399114228,398297,15658,582752997.00,179385,45.04,23.00,-3.15
18-October-2022,1452.00,1465.00,1439.80,1444.15,1451.765186468344520878,120074,5008,174319253.00,55880,46.54,25.20,-7.85
17-October-2022,1434.65,1457.30,1427.05,1446.35,1443.676582059167496859,277044,14249,399961935.00,89576,32.33,30.25,11.70
14-October-2022,1412.00,1447.00,1412.00,1441.10,1434.102418685372098208,372227,19446,533811641.00,255735,68.70,35.00,29.10
13-October-2022,1402.50,1406.85,1384.00,1393.70,1393.826194386709495501,68801,4435,95896636.00,30596,44.47,22.85,-8.80
12-October-2022,1407.00,1414.10,1397.35,1409.40,1405.949167747249610582,122619,8854,172396081.00,57283,46.72,16.75,2.40
11-October-2022,1403.80,1416.95,1399.20,1400.70,1406.728076061042984196,140098,9888,197079790.00,77181,55.09,17.75,-3.10
10-October-2022,1410.00,1425.90,1398.35,1415.50,1407.368168050326805400,81547,5782,114766652.00,31329,38.42,27.55,5.50
7-October-2022,1425.25,1433.00,1420.45,1430.70,1426.063312157862598690,93347,4504,133118732.00,64964,69.59,12.55,5.45
6-October-2022,1455.00,1462.10,1434.80,1436.85,1449.436584597257045775,72987,4061,105790028.00,31403,43.03,27.30,-18.15
4-October-2022,1425.25,1456.00,1425.25,1452.60,1447.573942196531791907,86500,4873,125215146.00,45408,52.49,30.75,27.35
3-October-2022,1410.00,1418.00,1400.55,1412.85,1409.017245069561229169,130820,11695,184327636.00,67217,51.38,17.45,2.85
30-September-2022,1375.55,1431.30,1365.05,1422.40,1409.180533775078225658,135825,6177,191401946.00,50496,37.18,66.25,46.85
29-September-2022,1394.25,1402.20,1378.80,1381.85,1389.176114081996434937,70125,5208,97415975.00,27273,38.89,23.40,-12.40
28-September-2022,1405.00,1410.65,1385.15,1388.25,1395.994435664932926236,195531,18349,272960188.00,87153,44.57,25.50,-16.75
27-September-2022,1426.50,1439.80,1406.90,1414.35,1424.054427364698949022,81448,5275,115986385.00,25425,31.22,32.90,-12.15
26-September-2022,1423.35,1436.15,1417.40,1425.20,1425.074886245422913165,362403,34870,516451414.00,,,18.75,1.85
23-September-2022,1475.00,1475.00,1437.00,1446.50,1451.561987343049488964,138738,9817,201386807.00,61743,44.50,38.00,-28.50
22-September-2022,1516.00,1516.00,1482.00,1485.70,1495.519183768067085247,189848,13545,283921326.00,84425,44.47,34.00,-30.30
21-September-2022,1510.00,1521.40,1505.00,1518.75,1515.660853017685364618,57279,3689,86815538.00,27841,48.61,16.40,8.75
20-September-2022,1508.50,1524.00,1499.95,1518.05,1518.095056174216052502,282959,17951,429558659.00,204790,72.37,24.05,9.55
19-September-2022,1486.35,1514.00,1480.00,1502.90,1503.600756937062424397,218248,11617,328157858.00,117340,53.76,34.00,16.55
16-September-2022,1499.00,1514.50,1483.00,1493.20,1502.134022733305982575,248622,18226,373463565.00,126709,50.96,31.50,-5.80
15-September-2022,1522.25,1540.55,1511.75,1520.90,1525.944334274714679394,292478,20276,446305147.00,154538,52.84,28.80,-1.35
14-September-2022,1490.00,1538.95,1490.00,1528.90,1507.224551349721007389,623314,9690,939474164.00,122694,19.68,48.95,38.90
13-September-2022,1498.30,1515.55,1498.10,1511.15,1509.233760004541068286,352340,7212,531763423.00,257060,72.96,17.45,12.85
12-September-2022,1498.00,1503.85,1489.90,1492.20,1498.266217659572589970,113287,4714,169734085.00,51289,45.27,13.95,-5.80
9-September-2022,1497.50,1509.00,1495.00,1498.15,1505.277556236157766623,337283,9952,507704530.00,,,14.00,0.65
8-September-2022,1486.50,1500.00,1482.50,1497.05,1492.981816238745357877,187145,5112,279404082.00,121606,64.98,17.50,10.55
7-September-2022,1470.00,1490.25,1470.00,1482.20,1485.776972671796232422,376900,13647,559989341.00,318726,84.57,20.25,12.20
6-September-2022,1490.00,1506.50,1486.75,1489.50,1498.579707373384051571,575204,17678,861989042.00,430967,74.92,19.75,-0.50
5-September-2022,1485.10,1498.90,1483.20,1495.05,1493.759374655760437343,462977,17331,691576234.00,356723,77.05,15.70,9.95
2-September-2022,1474.00,1490.65,1466.00,1486.15,1478.611696501384750785,123849,7098,183124580.00,,,24.65,12.15
1-September-2022,1468.00,1489.20,1459.00,1472.10,1468.574632980277013420,1301020,23422,1910644969.00,1145629,88.06,30.20,4.10
30-August-2022,1443.00,1489.85,1443.00,1486.20,1471.146863497507555578,306727,15857,451240464.00,190060,61.96,46.85,43.20
29-August-2022,1435.80,1446.10,1428.35,1440.00,1438.376911722752136540,80621,6065,115963385.00,36335,45.07,17.75,4.20
26-August-2022,1468.25,1481.45,1462.00,1463.40,1473.239005116911717080,138951,4552,204708033.00,102099,73.48,19.45,-4.85
25-August-2022,1477.00,1486.60,1459.00,1463.85,1481.948095576058670451,147945,5354,219246811.00,94119,63.62,27.60,-13.15
24-August-2022,1465.85,1475.90,1458.60,1471.30,1468.530050209385348053,278434,12016,408888696.00,195622,70.26,17.30,5.45
23-August-2022,1450.25,1475.50,1450.25,1465.85,1459.613211061368515872,295298,7648,431020862.00,209780,71.04,25.25,15.60
22-August-2022,1482.60,1487.90,1467.65,1470.15,1475.273448755710063972,406738,23579,600049772.00,223175,54.87,20.25,-12.45
19-August-2022,1512.00,1512.00,1490.00,1493.45,1496.989339725292921009,190239,7534,284785755.00,142323,74.81,22.00,-18.55
18-August-2022,1499.20,1513.50,1499.20,1511.45,1506.858598664001170217,82036,4562,123616652.00,,,14.30,12.25
17-August-2022,1500.00,1512.00,1486.05,1509.20,1503.818169304184680642,196144,6526,294964911.00,109808,55.98,25.95,9.20
16-August-2022,1490.00,1508.60,1488.25,1501.95,1502.020133565312526116,131621,6033,197697392.00,65824,50.01,20.35,11.95
12-August-2022,1481.00,1488.80,1476.00,1484.75,1484.187859902618850438,310327,12887,460583566.00,200823,64.71,12.80,3.75
11-August-2022,1480.00,1491.00,1474.65,1486.75,1483.142580609136425961,322358,6769,478102876.00,239065,74.16,16.35,6.75
10-August-2022,1462.00,1471.60,1449.40,1466.00,1465.454022401285308096,283823,6792,415929557.00,210069,74.01,22.20,4.00
8-August-2022,1428.45,1464.00,1427.15,1460.95,1454.503828938715767590,188564,7804,274267060.00,104860,55.61,36.85,32.50
